fix_key,content_hash,model,prompt_version,ai_found,ai_analyzed,ai_authored,ai_tooling,mentioned_only,vendor,disclosure_form,confidence,rationale
acquire procarraylock exclusively in procarraycleartransaction.,9f7798feea49c8fc,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
acquire spinlock when updating 2pc slot data during logical decoding creation,3f78ac87a8c2ca88,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
activate perlcritic inputoutput::requirecheckedsyscalls and fix resulting warnings,54057f2649ad231e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"activate python ""limited api"" in pl/python",7d5df14412cf9d26,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
adapt appendpsqlmetaconnect() to the new fmtid() encoding expectations.,9312515443fd627f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
adapt pg_upgrade test to pg_lsn output format difference,11d36e31c71b0f6f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
adapt rel_17_stable to its new status as a stable branch,39f04a2ed008e6ba,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
adapt rel_18_stable to its new status as a stable branch,e5e58f83bfb1297d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
adapt rel_19_stable to its new status as a stable branch,d883df906accffaa,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
adapt src/test/ldap/t/001_auth.pl to work with openldap 2.5.,b87f669ff908c0ec,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""--exclude-extension"" to pg_dump's options.",d48a9da7df4ed173,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""-c name=value"" switch to initdb.",b3bfc976c68d9830,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""abi_compatibility"" regions to wait_event_names.txt",9b8f67dc8bdf99c4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""add trailing commas to enum definitions"" to .git-blame-ignore-revs",d72540d1d6760b35,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""all sequences"" support to publications.",eb7048592f50293e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""lp_dead item?"" column to gist pageinspect functions",ba5d9485b4694870,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ""pg_database_owner"" default role.",dd5cebffaa3b733b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add #define for unicode_casemap_bufsz.",8578202b2bcf65c1,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add %p to log_line_prefix for parallel group leader,3ff1caaeae046e54,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'basebackup_to_shell' contrib module.,a8b029424ac519e1,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'logical_decoding_mode' guc.,46e31dd744df5bba,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'make check-tests' behavior to the meson based builds,8a31b11195edc62e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'missing_ok' argument to build_attrmap_by_name,eb0c92dcea177886,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'no_error' argument to pg_wal_replay_wait(),3d8731f59ec1c2bb,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'noerror' argument to encoding conversion functions.,6ba1fbf3ab79998e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'portal close' message to pipelined pqsendquery(),24f53fd476737593,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 'static' to file-local variables missing it.,07cc3158a0bdfa03,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add (void) cast in front of rmtree() call at the end of pg_upgrade,aed510e97b6544d0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add +(pg_lsn,numeric) and -(pg_lsn,numeric) operators.",48d92f4e255313b3,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --buffer-usage-limit option to vacuumdb,afa08d1624e15b03,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add --clobber-cache option to initdb, for cca testing.",14f58ccd0383fa31,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --copy-file-range option to pg_upgrade.,705a35800c5fca5f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --no-index-cleanup and --no-truncate to vacuumdb.,1eaf4cdb397e7617,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --no-instructions parameter to initdb,0e4c8a46b026d8f2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --no-sync to pg_upgrade's uses of pg_dump and pg_dumpall.,de1bf895ee85a1df,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --no-toast-compression to pg_dumpall,16e797bffc175b6f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --schema and --exclude-schema options to vacuumdb.,b2d5184b96d42724,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add --tablespace option to reindexdb,0d727bb95d885e49,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add -w back to the flags for pg_ctl (re)start in postgresnode,427ea07843be5a05,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add -wmissing-variable-declarations to the standard compilation flags,056efeabfaa9cdef,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add -wshadow=compatible-local to the standard compilation flags,d0daf881a5a61831,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add ./configure check for ""lz4"" command",7eb6df2dc3cd6b6d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add .abi-compliance-history to back-branches.,cd19c4d83838d2a7,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add .abi-compliance-history to v18 branch.,2a2725a52a85425b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add .gitignore entry for ecpg test detritus.,3f054f3889c753af,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add .gitignore for basebackup_to_shell.,0195d19680f2b6da,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add .gitignore to ldap_password_func,ed62706a482560df,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add .gitignore to src/test/modules/gin/,58262cde8ca81e89,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 0245f8db3 to .git-blame-ignore-revs.,385607860e30041b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 23e7b38bf to git-blame-ignore-revs.,f5cb5f4416cbab31,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 250c8ee07ed to git-blame-ignore-revs,bc37689b90ccc531,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 82d0ffae3 to git-blame-ignore-revs.,1cd11c4c606af4a4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 918e7287e to .git-blame-ignore-revs,319d641e2723eabc,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add 97add39c0 to .git-blame-ignore-revs.,b60aa671a068da18,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add <stdalign.h> to c.h,9e283d21849933ed,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add @extschema:name@ and no_relocate options to extensions.,93e0400ac1fd308b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add \pset options for boolean value display,7ab33713fce93838,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add _bt_set_startikey row compare test coverage.,9466ba70f4cfc521,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add _outtidrangepath(),f1da4cbe04626ea7,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a \getenv command to psql.,2b83524ca0f862fa,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a bit of documentation related to iwyu,99ef9ef76f438ab2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a build-time check that libpq doesn't call exit() or abort().,e2081feebcc92e16,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a caveat to hash_seq_init_with_hash_value() header comment,8940ac6e0e7ff030,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a comment to distinguish backend types,f38e1e70a57a9f2a,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a common function to generate the origin name.,5afde4bfc8fa2f67,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a const decoration,351647b24f70388e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a copyright notice to perl files lacking one.,ef00d66567bb271d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a couple more tests for interval input decoding.,babe661e89ae8a62,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a couple of commits to .git-blame-ignore-revs,794df04ec1da4d78,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a couple of commits to .git-blame-ignore-revs.,47ce83346cbe5fe4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a couple of missed .gitignore entries.,dfe7afaa92b6cee0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a couple of recent commits to .git-blame-ignore-revs.,7334afb1b6a18868,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a couple of regression test cases related to array subscripting.,3e4382853cdf02aa,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a default option to copy from,8e9755bd2d7fde00,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a docs section for obsoleted and renamed functions and settings,d5fa73d97e2dc50a,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a failover option to subscriptions.,5020007db15e6516,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a few new patterns to the tab completion of psql,b8e921beb23f695e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a few recent and not so recent revs to git-blame-ignore-revs.,66c0a203652ef62d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a few recent commits to .git-blame-ignore-revs,957af094cb29c261,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a few recent commits to .git-blame-ignore-revs.,4115a90dde6773c0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a getter function for a postgresnode install_path,e72148f010ec0c60,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a git .mailmap file,556cf5b5df1526c2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a graph pattern variable only once,f737d09b093d6c7d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a guc_check_handler to the explain extension mechanism.,5e3f2ff408257ea5,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a hook for modifying the ldapbind password,31e6ff9a762baa10,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a macro for the declared typlen of type timetz.,4fb1cacad2bc29fa,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new 'f' entry type for fixed-numbered stats in pgstats file,b84dc07ab473a92b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new guc and a reloption to enable inserts in parallel-mode.,1edf585e2f14f9c5,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new helper function wait_for_file() to utils.pm.,eb47d32198d13917,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new shmem_request_hook hook.,9f80621204629c90,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new slot sync worker to synchronize logical slots.,89882abc300f5469,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new wait state and use it when sending data in the apply worker.,4d40a14ee03929fd,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a new wal summarizer process.,9bb3b7846aa77cf6,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a parse location field to struct functionparameter.,bea3dd52442caece,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a planner support function for numeric generate_series().,86b6327d7215045f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a planner support function for starts_with().,bd16a1efadd623c6,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a readme and makefile recipe for gen_dummy_probes.pl,63ab4c9d6607275e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a regression test for contrib/pg_prewarm.,636d14f029ce58af,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a regression test for contrib/pgrowlocks.,289693354bbdd769,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a regression test for contrib/tcn.,b6a08b484834d4c5,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a regression test to verify that nls translation works.,665fbfc7dbac9ffa,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a run_as_owner option to subscriptions.,fdbd6a42d2ed1722,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a set option to the grant command.,a22a41e2e14e5fde,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a simple test for contrib/auto_explain.,ae6a398cc206e21d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a slot synchronization function.,aa60e2bec50a1b41,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a syscache on pg_extension.oid.,4d95c8ace067496d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a tap test for test_json_parser_perf,b37202b4997457f6,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add a temp-install prerequisite to src/interfaces/ecpg ""checktcp"".",339e31f30c5b7ed4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test case for a316a3bc,ca02d3f14496f0b3,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test for commit ac0e33136a using the injection point.,9b5d99df72a9dc9b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test for creating an index on a whole-row expression.,e8d7fa917df88c44,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test for half-dead pages in b-tree indexes,f54d2d8aba36f260,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test for incomplete splits in b-tree indexes,8aaf79a7309e65cf,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test for ucs_basic collation,902ed26c845e3489,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test harness for the binary heap code.,95503b0b7e8a918b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test harness for the lwlock tranche code.,ee9a590864689017,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test module for bitmapset,2ac8b60a67b1705c,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test module for object access hooks,b42e426af208b2b2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test module for the regular expression package.,882783a0deff3afb,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test module to test after-startup shmem allocations,3d23a5e4e70a5ca4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test to verify that subscription to the standby works.,93b0318fc3407561,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a test using ldapbindpasswd in pg_hba.conf,33eec71b354cba0f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a view to show the stats of subscription workers.,35fdcbaf3af3dc5f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a way to create read stream object by using smgrrelation.,85f642b39ccb17db,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a way to get the current function's oid in pl/pgsql.,c20a29e11a9c3d03,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add a xid argument to the filter_prepare callback for output plugins.,f7b6e4c886fcc6b0,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add abi extra field to fmgr magic block,171d3a1e92c4c8d3,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add ability to reset all shared stats types in pg_stat_reset_shared(),aee94a1c961660e5,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add access method names to \d[i|m|t]+ in psql,a475b9102ef8b6ee,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add accidentally omitted test to meson build file,0a5608a0aaa61e33,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional checks while creating the initial decoding snapshot.,7b460d95a7d69cbb,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional documentation for row filters.,85a979f2997b9b5b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional filtering options to pg_waldump.,cf567309a186140f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional information in the vacuum error context.,02f09ec5828a55e8,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional jsonpath string methods,b9d52a6ed9b5ed0b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional regression tests for select_active_windows,adf5f01574b34b50,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional sanity checks when reading a blkreftable.,58f1048b57aa8d07,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add additional tests to test streaming of in-progress transactions.,e2cf736660be30df,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add adjust_conf method to postgresnode,e13e7773050c1557,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add aiouringcompletion in wait_event_names.txt,d0cc6055ab75a143,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add alignment option to shmemrequeststruct(),b74788a3bd7b4049,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add all required calls to tupledescfinalize(),7bc6519da5cbcbe2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add allow_alter_system guc.,561a127c879cf8a8,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add alter subscription ... skip.,60ddc7b940a84d6e,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add alter table ... alter constraint ... set [no] inherit,9d136b025a1566a2,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add alternative output for openssl 3 without legacy loaded,4422c0acd2e1aa0b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add amgettreeheight index am api routine,901a3303c81d13e8,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
"add an ""unset"" value for vacuum_index_cleanup.",66e17f1f305bb79d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an additional hook for explain option validation.,1807e77166c72e54,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an alternative_plan_name field to plannerinfo.,81bce891418f889d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an assertion in get_object_address(),9cf8ccdbaad0a64f,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an enable_groupagg guc parameter,5de5e7a452673411,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an explicit cast to double when using fabs().,1cabfe2c20065d97,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an injection_points isolation test suite.,01a05ff2f5c249db,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add an output_plugin_libraries guc to bless trusted output plugins,5aa15f1343004534,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add and use bitmapheapscandescdata struct,e0df59ea07f2bee9,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add and use symbolic constants for tar header offsets and file types.,849bb9c1484b671b,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add another old commit to git-blame-ignore-revs.,d504292f20f519be,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add another sql/json error code,34712213bf841bd6,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add api and abi stability guidance to the c language docs,1e08f7ce146cdba1,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add api of sorts for transition table handling in trigger.c,0bb503f35a996566,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add argument names to the regexp_xxx functions.,f9ea64082ea7aa5d,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add array_sample() and array_shuffle() functions.,532be0f481962916,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add assert and log message to visibilitymap_set,cd013a8202811205,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add assert checking to pg_leftmost_one_pos32() and friends,6fba52f3f3b48e9c,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add assert to walreadfrombuffers().,a4ccdeb3251710f4,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
add assertion about ssize_t narrowing in aio code,e3ade8b4c76c8243,qwen3:30b-a3b,ai-v4,false,false,false,false,false,none,none,0.95,mentions: none
