item_ord,content_hash,model,prompt_version,category_llm,confidence,rationale
64,5372dfe0e79ddf97,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a panic during WAL replay, which is a crash-related issue, specifically related to a lock acquisition failure in hash-index page split operations."
65,d4e710b2f78a557c,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses a discrepancy in page state during WAL replay between primary and standby servers, directly impacting replication consistency and recovery behavior."
66,9badaa4047f9bfe9,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses a function that produced incorrect behavior for certain inputs, which directly impacts result accuracy and could affect query planning or execution, even though no core usages were found."
67,7ecbd1af6ba7704f,qwen3:30b-a3b,v2,Security hardening (no CVE),0.95,"The fix addresses a latent buffer-overrun problem, which is a memory-safety weakness that could potentially lead to security vulnerabilities, even if not known to have been exploited in released versions."
68,7026a98380bca3bd,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses a specific issue related to pointer alignment in 32-bit builds, which is a platform-specific build concern rather than a security vulnerability, crash, or functional error."
69,5274288378b149e8,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses an assertion failure, which is a type of crash or corruption issue, and the description explicitly states it was a harmless mistake in non-assert builds."
70,4cd0cbdba7576b05,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a non-critical optimization logic issue that does not impact correctness, security, or stability, but rather improves code clarity or removes unnecessary checks."
71,af6a0ea3099590b9,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses incorrect error messages related to ACL checks, which is a minor documentation or user experience issue rather than a security, crash, performance, or functional bug."
72,6e0772e6f15f49cd,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses potential corruption of tablespace map files during pg_basebackup, which directly relates to data integrity and corruption prevention."
73,ee8fbe5979e84bb8,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses a non-critical warning message in pg_dump's behavior, which is a minor user experience improvement rather than a security, crash, performance, or functional issue."
74,a39961215e2bbdf7,qwen3:30b-a3b,v2,Client tools,0.95,"The fix addresses issues in psql's command-line interface commands (“\sf” and “\ef”) related to handling SQL-language function bodies, which falls under client tool functionality."
75,a73c9ee0be9c0aba,qwen3:30b-a3b,v2,Client tools,0.95,"The fix addresses tab completion functionality in client tools, specifically for SQL commands related to altering function schemas, which falls under client tool enhancements."
76,37adf6e2bacc29de,qwen3:30b-a3b,v2,Extensions & contrib,0.95,"The fix updates a contrib module (pageinspect) to mark functions as PARALLEL RESTRICTED, addressing a specific behavior related to temporary tables and parallel workers, which falls under extension functionality."
77,07604de1c3801417,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a crash and potential garbage output when processing numbers with excessive digits, directly relating to crash prevention and data corruption risks."
78,c5b161ec892dc221,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses a build issue specific to Microsoft Visual Studio 2013, requiring a revert to sprintf() due to the absence of snprintf() on that platform, which is a platform-specific build compatibility problem."
79,9634b7019040bff0,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses a compilation issue specific to building PL/Perl with MSVC and Strawberry Perl, which is a platform-specific build problem."
80,892f6fe201479f2b,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses a compatibility issue between PL/Perl built with MSVC and a Perl library built with gcc, which is fundamentally a build and platform compatibility problem."
81,dc869d4272f217c5,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses compiler warnings related to Perl header files, which is a build-time issue rather than a runtime behavior or functional change."
82,f4aa77fe00bbd19e,qwen3:30b-a3b,v2,Build & platform,0.95,"The fix addresses a build issue related to compiler behavior, specifically handling of static-inline functions, which falls under platform or build compatibility concerns."
83,6286b6df6437e70d,qwen3:30b-a3b,v2,Security hardening (no CVE),0.95,"The fix addresses a security vulnerability where CREATE SCHEMA could bypass search_path restrictions, enabling privilege escalation through security-definer functions, which is a core security hardening issue rather than a crash or functional bug."
84,9a958a726783a57a,qwen3:30b-a3b,v2,Security hardening (no CVE),0.95,"The fix addresses a row-level security policy enforcement issue that could allow unauthorized access to rows, which is a security vulnerability, not merely a crash or incorrect result."
85,7847ed6bb8f7a6aa,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses potential corruption of the template database due to improper buffer handling, which directly relates to data integrity issues rather than security or other categories."
86,9fe8b1722a36a01b,qwen3:30b-a3b,v2,Performance,0.9,"The fix addresses memory leakage and unnecessary disk reads, which are performance-related issues rather than security, crashes, or other categories."
87,dc168eac6b32e813,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a crash caused by omitting the schema name in CREATE SCHEMA, which aligns with the 'Crash & corruption' category as it prevents a program crash due to missing expected input."
88,6e8c0fc8163cdc4e,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses planner failures related to MERGE commands, specifically errors in variable handling during planning, which directly impacts query planning and result correctness."
89,a202ac8afd23e825,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an inconsistency in the row count reported by MERGE, aligning it with UPDATE/DELETE behavior and preventing double-counting in partitioned tables, which directly impacts query result accuracy and planner behavior."
90,447909bc721ff5ba,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses incorrect behavior in the MERGE statement due to concurrent updates, leading to wrong results or no action being executed, which falls under the 'Wrong results & planner' category."
91,9ad7ee1eee3916fe,qwen3:30b-a3b,v2,Extensions & contrib,0.9,"The fix adds support for decompiling MERGE commands, which is a new feature for SQL functions, falling under extensions or contrib functionality."
92,352e8ed19a39aa49,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses a specific issue where ALTER TABLE commands for foreign-key triggers on partitioned tables were failing due to incorrect trigger name matching, which would lead to incorrect behavior or failure in enforcing foreign key constraints, thus affecting the correctness of the database operations."
93,79f48d7c108e2f22,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses a scenario where altering composite types could lead to inconsistent or incorrect data handling due to index dependencies, which affects query results and planner behavior."
94,e4b20590d7f9db12,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix prevents using system columns in foreign keys, which could lead to incorrect or undefined behavior in the database schema and query planning, thus addressing a potential source of wrong results."
95,c8aeadcacc0daab0,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a discrepancy where COPY TO from an RLS-enabled parent table incorrectly included rows from child tables, which violates the expected behavior of copying only from the named table, thus affecting query results."
96,40644e6bd037d46c,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential crash when using array functions with an empty array, directly preventing a crash scenario."
97,f4a122ffade47595,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential out-of-bounds fetch in to_char(), which could cause a server crash, aligning with the 'Crash & corruption' category as the primary issue is preventing a crash rather than a security vulnerability."
98,e9dc2489f4353d2c,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a buffer overread that could cause a crash, which is a classic example of a crash-related issue rather than a security vulnerability."
99,3d528b7d84518964,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses incorrect character classification logic in text search, which would lead to erroneous results in queries involving locale-specific behavior."
100,1f55fbc69bada390,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential crash when processing empty input for the 'interval' data type, which directly relates to preventing crashes in the system."
101,20a7c18588e7d01d,qwen3:30b-a3b,v2,Other functionality,0.95,"The fix re-enables a previously accepted but non-standard feature in interval input, addressing a usability or compatibility issue rather than security, crashes, performance, or other core categories."
102,18ef7aec8409b1bc,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses incorrect error cursor positioning during JSON syntax errors, which affects the accuracy of error messages and could lead to crashes, but the core issue is about misreporting the location of syntax errors in JSON parsing, not a security flaw or crash itself."
103,5d3bdcf80215eb3e,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a scenario where vacuum cleanup could remove live rows due to an incorrect computation of the cleanup horizon XID, leading to data corruption and incorrect query results, which falls under 'Wrong results & planner' as it affects the correctness of data retrieval and storage."
104,f15383a8bdc86f94,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a parser issue that could cause invalid queries to be accepted, leading to executor failures, which fundamentally relates to incorrect query handling and planner behavior."
105,083b9f7b4fdf34e1,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses data structure corruption during parsing of SEQUENCE NAME options, which can lead to incorrect results or planner issues due to the corrupted parse tree."
106,785a28274dfcb207,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a planner oversight that could cause subplan initialization errors, directly impacting query execution correctness and planner behavior."
107,562845a2e234145f,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an issue where extended statistics code failed due to unexpected PlaceHolderVars, which affects query planning and result accuracy."
108,58cb3d4f000f8d80,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses incorrect behavior in query planning and execution, specifically related to transforming qual clauses into window aggregate conditions, which could lead to wrong results or assertion failures."
109,c25f29cb31d30b7c,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a planner optimization that could lead to incorrect results when sub-SELECTs are used in window aggregates, as the optimization assumes repeatable results which sub-SELECTs may not provide."
110,9fb2480c11dde79f,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential crash due to undersized output allocation in nested ARRAY[] constructs, which is a fundamental issue related to memory allocation and crash prevention."
111,43dd707cd8bffa0a,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix prevents a crash during an update operation on a specific column type, directly addressing a crash condition."
112,f5a0a93a17883d11,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses incorrect partition pruning logic that could lead to missing rows (NULL values) or incorrect handling of boolean expressions, directly impacting query result accuracy and planner behavior."
113,437ce2a74d8d240d,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential crash caused by a race condition during parallel hash join cleanup, which aligns with the 'Crash & corruption' category as the primary issue is preventing a crash rather than security or other aspects."
114,ed806adf9ca44338,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a scenario where GENERATED columns might not be correctly recalculated after a concurrent update, leading to potential incorrect results in queries under READ COMMITTED isolation, which is a planner or query result issue."
115,721d08e6710cb232,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses a memory leak, which is a form of resource corruption that can lead to crashes or instability, rather than being a security issue or a functional error."
116,64e90b51a9c04f65,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a buffer reference count leak, which is a memory management issue that could lead to resource exhaustion or corruption, not a security vulnerability or other category."
117,f21b11513dcb2a4f,qwen3:30b-a3b,v2,Performance,0.95,"The fix restores support for sub-millisecond vacuum_cost_delay settings, which directly relates to performance tuning of the vacuum process in PostgreSQL."
118,42040c296eea1727,qwen3:30b-a3b,v2,Wrong results & planner,0.8,"The fix addresses a specific behavior in the vacuum cost delay balancing logic, which affects how autovacuum processes tables with a zero per-relation vacuum_cost_delay setting, potentially leading to incorrect vacuum scheduling or resource allocation."
119,98d44b4a6e70c37e,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses corner-case crashes related to adding columns to a view, which directly pertains to preventing crashes, a core aspect of the 'Crash & corruption' category."
120,3e499e55650a7ae3,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses a scenario where the query planner or executor could produce incorrect results or fail consistency checks due to improper handling of partitioned tables in a specific UPDATE syntax, directly impacting result correctness."
121,186ef9c9943c5fcb,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an issue where the planner mishandled DEFAULT markers in a specific INSERT scenario, leading to errors that would prevent correct query execution or produce incorrect results."
122,38275cc9e9c8f308,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a potential crash caused by missing LATERAL marking in subqueries, which is a crash-related issue rather than a security flaw or other category."
123,11143ae445df2040,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses the correct printing of table aliases in decompiled SQL constructs, which is a minor adjustment to output formatting rather than a security, crash, performance, or functional issue."
124,6ef3e95a957fbe4c,qwen3:30b-a3b,v2,Wrong results & planner,0.95,"The fix addresses an optimization issue in SERIALIZABLE READ ONLY transactions that could lead to incorrect behavior or missed optimizations, directly impacting query planning and result correctness."
125,b979323f6cb6fb0f,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses a resource leak (cache callback slots) that would eventually cause an out-of-memory error, leading to a crash or corruption in the logical decoding plugin."
126,cd8bbb5698b389a6,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix addresses unnecessary calls to custom validators for index operator class options, which is a functional improvement rather than a security issue, crash, or performance problem."
127,444727ba01386f38,qwen3:30b-a3b,v2,Performance,0.95,"The fix optimizes index scanning by avoiding unnecessary work, directly improving query performance without addressing security, crashes, or other categories."
128,8adc70dcfe116523,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses incorrect handling of netmask in BRIN index operations, which affects query results and planner behavior rather than security, crashes, or other categories."
129,78e6012072cd859d,qwen3:30b-a3b,v2,Crash & corruption,0.95,"The fix addresses a dangling pointer dereference that could cause a server crash, which is a fundamental issue related to crash prevention rather than security or other categories."
130,69bafbd1e8f81824,qwen3:30b-a3b,v2,Replication & recovery,0.95,"The fix addresses a specific issue in logical replication when handling dropped or generated columns during update/delete operations, directly impacting replication behavior and recovery mechanisms."
131,900a5d03d672f459,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix corrects a naming inconsistency in a wait event for SLRU buffer I/O related to commit timestamps, which is a minor documentation and code consistency issue rather than a security, crash, performance, or functional bug."
132,7bb2ac1481d84e76,qwen3:30b-a3b,v2,Other functionality,0.9,"The fix reactivates reporting of a wait event, which is a minor operational detail rather than a security, crash, performance, or other major category."
133,fc1bf087fce69d71,qwen3:30b-a3b,v2,Wrong results & planner,0.9,"The fix addresses an underflow in calculating WAL segments to keep, which affects the accuracy of wal_keep_size, a configuration parameter, leading to potential incorrect behavior in data retention rather than a crash or security issue."
134,ba066165f0b43c0b,qwen3:30b-a3b,v2,Performance,0.95,"The fix disables unnecessary progress reporting overhead in standby mode, which directly improves performance by eliminating redundant work."
135,e765781b4ab86aa5,qwen3:30b-a3b,v2,Extensions & contrib,0.9,"The fix adds support for RSA-PSS certificates with SCRAM-SHA-256 channel binding, which is a new feature related to authentication mechanisms, falling under extensions or contrib modules."
136,4f34d85437504ce3,qwen3:30b-a3b,v2,Crash & corruption,0.9,"The fix addresses a race condition that could cause incorrect tracking of child processes, potentially leading to crashes or data corruption due to mismanagement of process IDs."
