month_dt,list_name,message_cnt,thread_start_cnt,form_report_cnt,fix_linked_message_cnt,fix_linked_thread_start_cnt,fix_linked_share
2025-06-01,pgsql-hackers,2150,168,1,1110,81,0.516279
2025-07-01,pgsql-bugs,288,39,29,142,12,0.493056
2025-07-01,pgsql-hackers,2632,176,0,1168,79,0.443769
2025-08-01,pgsql-bugs,287,43,30,90,8,0.313589
2025-08-01,pgsql-hackers,2429,200,0,1181,98,0.486208
2025-09-01,pgsql-bugs,248,42,27,96,6,0.387097
2025-09-01,pgsql-hackers,2581,168,0,1421,77,0.550562
2025-10-01,pgsql-bugs,387,49,28,130,12,0.335917
2025-10-01,pgsql-hackers,2784,192,1,1283,87,0.460848
2025-11-01,pgsql-bugs,184,36,25,78,6,0.423913
2025-11-01,pgsql-hackers,2906,202,0,1582,99,0.544391
2025-12-01,pgsql-bugs,218,36,26,102,9,0.467890
2025-12-01,pgsql-hackers,2753,225,0,1481,109,0.537959
2026-01-01,pgsql-bugs,138,26,20,45,3,0.326087
2026-01-01,pgsql-hackers,3013,197,1,1386,82,0.460007
2026-02-01,pgsql-bugs,227,40,29,82,8,0.361233
2026-02-01,pgsql-hackers,2568,198,1,1134,99,0.441589
2026-03-01,pgsql-bugs,203,37,26,81,7,0.399015
2026-03-01,pgsql-hackers,3666,200,0,1929,76,0.526187
2026-04-01,pgsql-bugs,234,40,20,109,11,0.465812
2026-04-01,pgsql-hackers,2860,262,0,1596,123,0.558042
2026-05-01,pgsql-bugs,186,37,30,99,15,0.532258
2026-05-01,pgsql-hackers,1884,204,1,964,84,0.511677
2026-06-01,pgsql-bugs,332,51,36,178,19,0.536145
2026-06-01,pgsql-hackers,2790,243,0,1247,117,0.446953
2026-07-01,pgsql-bugs,285,58,42,133,19,0.466667
2026-07-01,pgsql-hackers,2770,252,0,1220,104,0.440433
2026-08-01,pgsql-bugs,345,58,46,167,15,0.484058
2026-08-01,pgsql-hackers,2542,263,1,870,74,0.342250
