dim_release_key,release_dt,projection_method,method_label,method_family,method_order,signal_value,scale_factor,projected_fix_cnt,low_fix_cnt,high_fix_cnt,assumption
10fa0d573d632725421808674378f487,2026-08-13,message_scaled,list messages,signal,6,2634,0.021336,56,,,early list messages times the historical median shipped-fixes-per-early-message ratio
10fa0d573d632725421808674378f487,2026-08-13,origin_scaled,committed fixes by origin,signal,8,70,,104,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
10fa0d573d632725421808674378f487,2026-08-13,regime_repeat,regime repeat,series,3,,,73,,,whatever produced the latest release keeps delivering at that level
10fa0d573d632725421808674378f487,2026-08-13,report_scaled,bug reports,signal,5,39,1.901538,74,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
10fa0d573d632725421808674378f487,2026-08-13,reversion,reversion,series,1,,,75,62,87,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
10fa0d573d632725421808674378f487,2026-08-13,seasonal_baseline,seasonal baseline,reference,10,,,52,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
10fa0d573d632725421808674378f487,2026-08-13,trend,trend,series,2,,,78,,,"least-squares line through every earlier full-quarter release, extended one slot"
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,blended,blended (equal weight),reference,9,,,64,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,committed_scaled,committed fixes,signal,7,41,0.951220,39,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,escalation,escalation,series,4,,,59,,,the latest release is the new base and growth continues at the fitted trend rate
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,message_scaled,list messages,signal,6,3379,0.017939,61,,,early list messages times the historical median shipped-fixes-per-early-message ratio
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,origin_scaled,committed fixes by origin,signal,8,41,,55,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,regime_repeat,regime repeat,series,3,,,59,,,whatever produced the latest release keeps delivering at that level
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,report_scaled,bug reports,signal,5,49,1.880000,92,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,reversion,reversion,series,1,,,46,38,53,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,seasonal_baseline,seasonal baseline,reference,10,,,51,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
14d8b6c36187f5adc35e95280a91c9cb,2023-05-11,trend,trend,series,2,,,51,,,"least-squares line through every earlier full-quarter release, extended one slot"
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,blended,blended (equal weight),reference,9,,,54,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,committed_scaled,committed fixes,signal,7,65,0.984538,64,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,escalation,escalation,series,4,,,43,,,the latest release is the new base and growth continues at the fitted trend rate
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,message_scaled,list messages,signal,6,3118,0.017505,55,,,early list messages times the historical median shipped-fixes-per-early-message ratio
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,origin_scaled,committed fixes by origin,signal,8,65,,72,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,regime_repeat,regime repeat,series,3,,,47,,,whatever produced the latest release keeps delivering at that level
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,report_scaled,bug reports,signal,5,27,1.602790,43,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,reversion,reversion,series,1,,,49,40,58,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,seasonal_baseline,seasonal baseline,reference,10,,,57,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
1f43afe79c4f5f90d2e555ef65ec2716,2023-02-09,trend,trend,series,2,,,38,,,"least-squares line through every earlier full-quarter release, extended one slot"
30d790af5967d68d0dc1af24c052cc25,2022-08-11,blended,blended (equal weight),reference,9,,,50,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
30d790af5967d68d0dc1af24c052cc25,2022-08-11,committed_scaled,committed fixes,signal,7,41,1.419643,58,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
30d790af5967d68d0dc1af24c052cc25,2022-08-11,escalation,escalation,series,4,,,45,,,the latest release is the new base and growth continues at the fitted trend rate
30d790af5967d68d0dc1af24c052cc25,2022-08-11,message_scaled,list messages,signal,6,2174,0.017720,39,,,early list messages times the historical median shipped-fixes-per-early-message ratio
30d790af5967d68d0dc1af24c052cc25,2022-08-11,origin_scaled,committed fixes by origin,signal,8,41,,51,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
30d790af5967d68d0dc1af24c052cc25,2022-08-11,regime_repeat,regime repeat,series,3,,,51,,,whatever produced the latest release keeps delivering at that level
30d790af5967d68d0dc1af24c052cc25,2022-08-11,report_scaled,bug reports,signal,5,33,1.643559,54,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
30d790af5967d68d0dc1af24c052cc25,2022-08-11,trend,trend,series,2,,,45,,,"least-squares line through every earlier full-quarter release, extended one slot"
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,blended,blended (equal weight),reference,9,,,75,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,committed_scaled,committed fixes,signal,7,61,1.348837,82,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,escalation,escalation,series,4,,,77,,,the latest release is the new base and growth continues at the fitted trend rate
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,message_scaled,list messages,signal,6,3436,0.021426,74,,,early list messages times the historical median shipped-fixes-per-early-message ratio
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,origin_scaled,committed fixes by origin,signal,8,61,,91,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,regime_repeat,regime repeat,series,3,,,75,,,whatever produced the latest release keeps delivering at that level
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,report_scaled,bug reports,signal,5,36,1.880000,68,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,reversion,reversion,series,1,,,71,58,83,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,seasonal_baseline,seasonal baseline,reference,10,,,61,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
33136a96e9bc3dc6b8eb26e468436406,2026-05-14,trend,trend,series,2,,,77,,,"least-squares line through every earlier full-quarter release, extended one slot"
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,blended,blended (equal weight),reference,9,,,45,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,committed_scaled,committed fixes,signal,7,28,1.017857,28,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,escalation,escalation,series,4,,,51,,,the latest release is the new base and growth continues at the fitted trend rate
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,message_scaled,list messages,signal,6,2458,0.018922,47,,,early list messages times the historical median shipped-fixes-per-early-message ratio
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,origin_scaled,committed fixes by origin,signal,8,28,,38,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,regime_repeat,regime repeat,series,3,,,49,,,whatever produced the latest release keeps delivering at that level
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,report_scaled,bug reports,signal,5,36,1.693878,61,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,reversion,reversion,series,1,,,63,48,78,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,seasonal_baseline,seasonal baseline,reference,10,,,47,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
3aa0dcd869a782cee2f08c40235e2762,2023-11-09,trend,trend,series,2,,,64,,,"least-squares line through every earlier full-quarter release, extended one slot"
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,blended,blended (equal weight),reference,9,,,80,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,committed_scaled,committed fixes,signal,7,72,1.561515,112,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,escalation,escalation,series,4,,,70,,,the latest release is the new base and growth continues at the fitted trend rate
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,message_scaled,list messages,signal,6,3102,0.020633,64,,,early list messages times the historical median shipped-fixes-per-early-message ratio
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,origin_scaled,committed fixes by origin,signal,8,72,,120,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,regime_repeat,regime repeat,series,3,,,69,,,whatever produced the latest release keeps delivering at that level
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,report_scaled,bug reports,signal,5,39,1.635828,64,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,reversion,reversion,series,1,,,61,49,74,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,seasonal_baseline,seasonal baseline,reference,10,,,59,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
4864ec4775ef5c58b98d9f148c2e9869,2025-02-13,trend,trend,series,2,,,69,,,"least-squares line through every earlier full-quarter release, extended one slot"
54b845081bd089efb1f91a1b5a00304b,2024-08-08,blended,blended (equal weight),reference,9,,,50,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
54b845081bd089efb1f91a1b5a00304b,2024-08-08,committed_scaled,committed fixes,signal,7,31,1.308347,41,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
54b845081bd089efb1f91a1b5a00304b,2024-08-08,escalation,escalation,series,4,,,60,,,the latest release is the new base and growth continues at the fitted trend rate
54b845081bd089efb1f91a1b5a00304b,2024-08-08,message_scaled,list messages,signal,6,2567,0.019381,50,,,early list messages times the historical median shipped-fixes-per-early-message ratio
54b845081bd089efb1f91a1b5a00304b,2024-08-08,origin_scaled,committed fixes by origin,signal,8,31,,62,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
54b845081bd089efb1f91a1b5a00304b,2024-08-08,regime_repeat,regime repeat,series,3,,,58,,,whatever produced the latest release keeps delivering at that level
54b845081bd089efb1f91a1b5a00304b,2024-08-08,report_scaled,bug reports,signal,5,36,1.635828,59,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
54b845081bd089efb1f91a1b5a00304b,2024-08-08,reversion,reversion,series,1,,,64,50,78,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
54b845081bd089efb1f91a1b5a00304b,2024-08-08,seasonal_baseline,seasonal baseline,reference,10,,,44,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
54b845081bd089efb1f91a1b5a00304b,2024-08-08,trend,trend,series,2,,,70,,,"least-squares line through every earlier full-quarter release, extended one slot"
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,blended,blended (equal weight),reference,9,,,68,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,committed_scaled,committed fixes,signal,7,43,1.267857,55,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,escalation,escalation,series,4,,,74,,,the latest release is the new base and growth continues at the fitted trend rate
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,message_scaled,list messages,signal,6,3163,0.019840,63,,,early list messages times the historical median shipped-fixes-per-early-message ratio
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,origin_scaled,committed fixes by origin,signal,8,43,,81,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,regime_repeat,regime repeat,series,3,,,71,,,whatever produced the latest release keeps delivering at that level
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,report_scaled,bug reports,signal,5,51,1.693878,86,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,reversion,reversion,series,1,,,68,54,82,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,seasonal_baseline,seasonal baseline,reference,10,,,67,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
740c1e0f22c109481cb0da8abe660ae0,2024-05-09,trend,trend,series,2,,,73,,,"least-squares line through every earlier full-quarter release, extended one slot"
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,blended,blended (equal weight),reference,9,,,77,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,committed_scaled,committed fixes,signal,7,57,1.348837,77,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,escalation,escalation,series,4,,,77,,,the latest release is the new base and growth continues at the fitted trend rate
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,message_scaled,list messages,signal,6,4021,0.021426,86,,,early list messages times the historical median shipped-fixes-per-early-message ratio
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,origin_scaled,committed fixes by origin,signal,8,57,,88,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,regime_repeat,regime repeat,series,3,,,75,,,whatever produced the latest release keeps delivering at that level
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,report_scaled,bug reports,signal,5,41,1.693878,69,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,reversion,reversion,series,1,,,61,48,73,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,seasonal_baseline,seasonal baseline,reference,10,,,58,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
745f1c86e5cdd8936f605bfc2f720903,2025-05-08,trend,trend,series,2,,,72,,,"least-squares line through every earlier full-quarter release, extended one slot"
908485dfcfcc6d43ee34661e0249105e,2026-11-12,blended,blended (equal weight),reference,9,,,96,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
908485dfcfcc6d43ee34661e0249105e,2026-11-12,committed_scaled,committed fixes,signal,7,83,1.348837,112,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
908485dfcfcc6d43ee34661e0249105e,2026-11-12,escalation,escalation,series,4,,,144,,,the latest release is the new base and growth continues at the fitted trend rate
908485dfcfcc6d43ee34661e0249105e,2026-11-12,message_scaled,list messages,signal,6,3694,0.021426,79,,,early list messages times the historical median shipped-fixes-per-early-message ratio
908485dfcfcc6d43ee34661e0249105e,2026-11-12,origin_scaled,committed fixes by origin,signal,8,83,,125,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
908485dfcfcc6d43ee34661e0249105e,2026-11-12,regime_repeat,regime repeat,series,3,,,142,,,whatever produced the latest release keeps delivering at that level
908485dfcfcc6d43ee34661e0249105e,2026-11-12,report_scaled,bug reports,signal,5,51,1.923077,98,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
908485dfcfcc6d43ee34661e0249105e,2026-11-12,reversion,reversion,series,1,,,75,63,88,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
908485dfcfcc6d43ee34661e0249105e,2026-11-12,seasonal_baseline,seasonal baseline,reference,10,,,71,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
908485dfcfcc6d43ee34661e0249105e,2026-11-12,trend,trend,series,2,,,93,,,"least-squares line through every earlier full-quarter release, extended one slot"
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,blended,blended (equal weight),reference,9,,,48,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,committed_scaled,committed fixes,signal,7,29,1.348837,39,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,escalation,escalation,series,4,,,56,,,the latest release is the new base and growth continues at the fitted trend rate
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,message_scaled,list messages,signal,6,2758,0.019840,55,,,early list messages times the historical median shipped-fixes-per-early-message ratio
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,origin_scaled,committed fixes by origin,signal,8,29,,47,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,regime_repeat,regime repeat,series,3,,,55,,,whatever produced the latest release keeps delivering at that level
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,report_scaled,bug reports,signal,5,32,1.577778,50,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,reversion,reversion,series,1,,,67,54,80,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,seasonal_baseline,seasonal baseline,reference,10,,,60,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
941e22d8a4f291e3ef640e97c4354a02,2024-11-14,trend,trend,series,2,,,67,,,"least-squares line through every earlier full-quarter release, extended one slot"
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,blended,blended (equal weight),reference,9,,,42,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,committed_scaled,committed fixes,signal,7,28,1.017857,28,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,message_scaled,list messages,signal,6,3269,0.019840,65,,,early list messages times the historical median shipped-fixes-per-early-message ratio
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,origin_scaled,committed fixes by origin,signal,8,28,,31,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,regime_repeat,regime repeat,series,3,,,57,,,whatever produced the latest release keeps delivering at that level
9690ffbcc2702b682b8b7c44a877583e,2022-05-12,report_scaled,bug reports,signal,5,26,1.325581,34,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,blended,blended (equal weight),reference,9,,,72,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,committed_scaled,committed fixes,signal,7,56,1.419643,80,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,escalation,escalation,series,4,,,75,,,the latest release is the new base and growth continues at the fitted trend rate
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,message_scaled,list messages,signal,6,2962,0.019381,57,,,early list messages times the historical median shipped-fixes-per-early-message ratio
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,origin_scaled,committed fixes by origin,signal,8,56,,88,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,regime_repeat,regime repeat,series,3,,,72,,,whatever produced the latest release keeps delivering at that level
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,report_scaled,bug reports,signal,5,45,1.786939,80,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,reversion,reversion,series,1,,,64,50,78,"the latest release was a one-off: return to the mean of the few full-quarter releases before it (reversion_baseline_releases of them), with a one-sample-standard-deviation band over every earlier release but the latest"
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,seasonal_baseline,seasonal baseline,reference,10,,,58,,,median shipped fix count of the earlier full-quarter releases in the same calendar quarter
ad89edc9dc5c9a74a8d3f9e6941f425d,2024-02-08,trend,trend,series,2,,,70,,,"least-squares line through every earlier full-quarter release, extended one slot"
b1036aa132d59c6301b245e14d25cebd,2025-08-14,blended,blended (equal weight),reference,9,,,53,,,"equal-weight average of the bug-report, list-message and committed-fix estimates"
b1036aa132d59c6301b245e14d25cebd,2025-08-14,committed_scaled,committed fixes,signal,7,40,1.308347,52,,,early committed fixes times the historical median shipped-fixes-per-early-committed-fix ratio
b1036aa132d59c6301b245e14d25cebd,2025-08-14,escalation,escalation,series,4,,,64,,,the latest release is the new base and growth continues at the fitted trend rate
b1036aa132d59c6301b245e14d25cebd,2025-08-14,message_scaled,list messages,signal,6,2308,0.020633,48,,,early list messages times the historical median shipped-fixes-per-early-message ratio
b1036aa132d59c6301b245e14d25cebd,2025-08-14,origin_scaled,committed fixes by origin,signal,8,40,,51,,,each origin's early committed fixes times that origin's documented-per-early-committed factor pooled over the most recent earlier releases (origin_projection_cycles of them); an origin with no early commits (embargoed security) takes those releases' average documented count
b1036aa132d59c6301b245e14d25cebd,2025-08-14,regime_repeat,regime repeat,series,3,,,63,,,whatever produced the latest release keeps delivering at that level
b1036aa132d59c6301b245e14d25cebd,2025-08-14,report_scaled,bug reports,signal,5,36,1.635828,59,,,"early bug reports times the historical median shipped-fixes-per-early-report ratio (over the earlier closed cycles that carry all three early signals, replayed at today's cycle age)"
