population,fix_key,list_name,root_message_id,ai_found,ai_analyzed,ai_authored,ai_tooling,mentioned_only,vendor,disclosure_form,verdict,note
thread,,pgsql-hackers,667f7dcf-404b-4898-a426-57ca6e0617f6@gmail.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,79629577-3ad8-4b1c-a469-ebc2cb4c5104@app.fastmail.com,false,true,false,false,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,878r2zeqsp.fsf@163.com,false,false,false,false,true,unspecified,prose,ok,
thread,,pgsql-hackers,967DBEA9-E8B7-4705-AD36-447D839AACA9@yandex-team.ru,false,false,true,false,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,98c6b630-acbb-44a7-97fa-1692ce2b827c@dunslane.net,true,false,false,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,BE73A0BB-5929-40F4-BAF8-55323DE39561@yandex-team.ru,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CA+5Zhp62fb6WMyzm1ZpKiYw3Pbtrjb=Vehug4xKmNeovpNjaCw@mail.gmail.com,false,false,false,false,true,unspecified,prose,ok,
thread,,pgsql-hackers,CA+COZaAgWDW90ue7AaCUGhc4MTUV=WFprv2nk16h_FdWO2R2Ow@mail.gmail.com,false,false,false,true,false,google,prose,wrong roles,
thread,,pgsql-hackers,CA+Tgmob9NY6m0YNFTQ4nFH2d0iC9SQRruDYxfndGKKzh8OC80w@mail.gmail.com,false,true,false,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CA+TgmobrjCHBuWHrvX3=2vndUCO2thUOdevrCcMDFW86cqCYvw@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CA+fnDAa8Kbbx3KkqpfxutTx41RchJsT3Lykqwcedm0CVr5Tw=A@mail.gmail.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CA+hUKGJz_pZTF9mckn6XgSv69+jGwdgLkxZ6b3NWGLBCVjqUZA@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CA+renyUts-ksRKL3V+9kTnRCAJdb8Xc3T1L+yCVscNZQKT4Yvw@mail.gmail.com,false,false,false,true,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAA-aLv5CMiStrGv2NFN79v3BHvBGu4-U1kuiVOYb87XgL0T=NQ@mail.gmail.com,false,true,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAA-aLv7L_-dOuHXjLh0Di66dExdOb=uTOzR=jtrqCmV0Wxyd2Q@mail.gmail.com,false,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAA-aLv7oRYS7eC6dJH6DHQ2vNMtjj=oCx7FjP8NSkstXvyKMUA@mail.gmail.com,false,true,true,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAAjvh2Q6MVRip0AJuWe0TyHjhujmpJHFAmWtXZMefCVnZDJ17w@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAApHDvp5ne9AWaH-tG1Lke-USLz3NwWLWTUdP5NT7ypKtcFqcg@mail.gmail.com,true,false,false,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAAxqZp-GDWU6qEs6rFjBQGqxpzobn2cGrSrbULLG8Cc_hdqFLg@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CABUevEyAuf6DG3dm0icnE1HMcS+EuF8AtaCpdEfnqwma1ib3Sg@mail.gmail.com,false,false,false,false,true,unspecified,prose,ok,
thread,,pgsql-hackers,CACJufxHnEu9UfoZsVN2v8FrKopDG+PKCfAGU6fpx7GhGcOa3xg@mail.gmail.com,false,true,false,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAD5tBcJXAX8bz5q9ngE4znvVLiXaPO89D0yTFhJgEPrPyT-Erw@mail.gmail.com,false,true,false,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CADsUR0Aauim-HULPsks0PGAW6jJ=-VYfFOahvqGQxk6zBak7Vg@mail.gmail.com,false,false,false,false,true,openai,prose,ok,
thread,,pgsql-hackers,CADsUR0B9bcJQKYHyUMnWcODGzF5+AdeToawULkkTKfrq32Z-8w@mail.gmail.com,false,false,false,false,true,unspecified,prose,ok,Is just talking about enhancing security roles to allow a role to be marked as read-only for the purposes of using it with an AI agent. AI wasn't involving in finding the issue or fixing it.
thread,,pgsql-hackers,CADsUR0DvVgnZYWwnmKRK65MZg7YLUSTDLV61qdnrwtrAJgU6xw@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAEfwbXMQnPzy=Od+Kr+nUT_YWcxr_u0acOVXb7eZFqbBtcSF_w@mail.gmail.com,false,false,false,false,false,none,none,not AI,
thread,,pgsql-hackers,CAExHW5s=bCLMMq8n_bN6iU+Pjau0DS3z_6Dn6iLE69ESmsPMJQ@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAF239vqdA5sOBr5j-AYhjvztzKwKBzUSGDpUo6QVBuEwcK_mOw@mail.gmail.com,false,false,false,false,true,unspecified,prose,ok,
thread,,pgsql-hackers,CAFcOn28TpR4oydF1NdMEuKFVVRiRwAwG4dGunu2kVxHZw3ViEA@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAGECzQR8oAaA2dFbE76-0s3f-Dgb4BJ4h1piux99QkHcmYqdTQ@mail.gmail.com,false,true,false,true,false,unspecified,prose,wrong roles,"Should be both ""model_ai_analysis"" and ""model_al_tooling"""
thread,,pgsql-hackers,CAGECzQTG4vSr_1goeWVrw2EGsjfGD-DCDqvCMqZSr2JtKoRqRA@mail.gmail.com,false,false,true,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAGJgb9vmBZRWi-8+=62U-BoPvGrUS4uMk=gjGbAfp3Rro2CAJg@mail.gmail.com,false,false,false,false,true,unspecified,prose,ok,
thread,,pgsql-hackers,CAGjGUAK4Xn_owW1dECxVPmCkTykYPfjabG1KmUnDLyWX5rY2Ng@mail.gmail.com,false,false,true,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAH2-Wz=4CJK9ysZzbzxBGGTkgAg9ib8cJyCx=9q_d1r8tf0ang@mail.gmail.com,true,true,true,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAH2-Wz=RBpJTQgvOxr6C=J04dExmFSt1E3F-r+cRTQ56hEotkg@mail.gmail.com,true,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAH2-Wz=sKJcn+OtfVN9rdg+Ps9e4cuQWNP-9t12UE2d8nEG90Q@mail.gmail.com,true,false,false,false,false,other,prose,ok,
thread,,pgsql-hackers,CAH2-Wzkro678xEDOrsxrq-YDVP4w7nXybhVJV2MxrzTj-5OU4w@mail.gmail.com,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAH2-Wzm1GpQ9qixP=Xs2TYdfnLM88OZ=yUFHNuajS_W7U90-tQ@mail.gmail.com,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAH2-WzmHVeYY=pjz9x8DhhxVjXHX0pvoQ-MdiB1Tt6=o2GTiKg@mail.gmail.com,false,true,true,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAH2-WzmwEThnQf17Ju+t0N9_KJLsEQSXzYrFnaS2=s4KnGGrqw@mail.gmail.com,false,true,false,true,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAH2-WznHo4b+6AmAj0GZ0jXqDSK69MfHe8fAQwuY_01y7cVNdw@mail.gmail.com,true,true,true,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAH2-WznQjX3GByh_Ju7unuzMcik_5PJ5D7i_=qhwk=gPEkhfVQ@mail.gmail.com,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAH2-WznvXyKRah=MQ3ONGHiN8ahJcqpmtyikxCOO96A4usDPpg@mail.gmail.com,true,true,true,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAH7T-arxDuVCSkorO=k7+M-_JV0JFzMpN_EtKMyD2K0RDqZ2OA@mail.gmail.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAHKojA-YN7V+5z4DMusnBh5es0S9dVHh97W8C-igvkh8BWCaxw@mail.gmail.com,false,false,false,false,false,none,none,not AI,
thread,,pgsql-hackers,CAHg+QDfU7rOebrLDESPpHSgdiadKbpCOmBokcbmM6Gr+A5VobQ@mail.gmail.com,false,false,true,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAHut+PtKp7OFkrvg8kJxH00MKCDEJRBpAzrzWE8oz84rq5AKbg@mail.gmail.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAHut+PuvY_wYLPJ4DTs7NE9Lu2ty4d-OgZAOJC-NvCM=2wwcQQ@mail.gmail.com,true,true,true,false,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,CAHut+PuvsyA5v8y7rYoY9mkDQzUhwaESM05yCByTMaDoRh30tA@mail.gmail.com,false,false,false,true,false,openai,prose,wrong roles,
thread,,pgsql-hackers,CAHut+PvQ5BqnawCQd6r1tqqd+iAJC-CuRY8wscuXSrpHGUzofA@mail.gmail.com,false,true,false,true,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,CAHut+Pvtf24r+bdPgBind84dBLPvgNL7aB+=HxAUupdPuo2gRg@mail.gmail.com,false,false,false,true,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,CAJSLCQ2MbCgG3tjQamWiy3wQWztvvUF9F1FzGmUp1VJ8kvdVrg@mail.gmail.com,false,true,false,false,false,openai,prose,ok,
thread,,pgsql-hackers,CAKAnmmKVwP=yr8t8p8_QtrBFjyENLZyPxscJh4UrkCeqMQuhrw@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAKZiRmw6jbShG+LJe0pY5G4w0ktoGwzPozsA=LhH_mN9wC+bhg@mail.gmail.com,false,true,false,false,false,google,prose,ok,
thread,,pgsql-hackers,CAKmOUTms2nkxEZDdcrsjq5P3b2L_PR266Hv8kW5pANwmVaRJJQ@mail.gmail.com,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAKz==b+k7OwOib__LgfDadUzW9jFrbQ9FqdERpsufi8d7F=vkQ@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CALmTjZBddzeGVU2o1JNZb3mPvV68PqDskWPAUQBVb-35yVkiwA@mail.gmail.com,true,false,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAM527d-5N6a4N_vrnZdS9dNmy8OMEMXYXQQfqXzwW_0X+6mXvA@mail.gmail.com,false,false,false,false,true,unspecified,prose,ok,
thread,,pgsql-hackers,CAM527d-uDn5osa6QPKxHAC6srOfBH3M8iXUM=ewqHV6n=w1u8Q@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAM527d8heqkjG5VrvjU3Xjsqxg41ufUyabD9QZccdAxnpbRH-Q@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAM527d9PkaSj-gNjLZqjJXnqaWTD8kHPtm2Yj8-1Gh_0pTRgDA@mail.gmail.com,false,true,false,true,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAM527d9exRCdWrhJOnAxk_vACg7sr_yPoaJp_+uCFY0qP8v=aw@mail.gmail.com,true,true,false,false,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,CAM527d_EbU5Li4a5FdKQjYsdF-4Lqr_i3jXmZOm7Wbb=Q2KzTw@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAM527d_s8coiXDA4xbJRyVOcNnnjnf+ezPYpn214y3-5ixn75w@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAMQXxchB0ZfMHyk+Ji-=s3hkqh0_XyuKiaNLRgvatvndSt3KNw@mail.gmail.com,false,false,true,true,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAMT0RQQ1Y47QSeLkVfF5SfanJMpDU+2QBPjDLXaBkB7PMVQXOQ@mail.gmail.com,false,false,true,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAMT0RQQtLQrY1T2fHCQnH_MZzj9bx0PxbkdOT+f1-wytQZAbaQ@mail.gmail.com,false,false,true,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAMbWs4--Qy-nLq_Eq61_rsQ3JUYteNh2G8-GnDkt+Fsp_t_Wjw@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAMbWs49BKM9wP6m8bCXEpHwQKp7usvOGV6Jf=J7FYr_BCpxLqg@mail.gmail.com,true,false,false,false,false,anthropic,prose,wrong roles,Vendor should also be changed to anthropic
thread,,pgsql-hackers,CAN4CZFMsEnA0TbYLHjicUn4MTjsJthCOmNvpWoTJb4_sm4F-aA@mail.gmail.com,true,false,false,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CAN4CZFP5dvO4sij414YYG+4Hghf3M5m2oPiyR_vNgRj3vhQ_0Q@mail.gmail.com,false,false,false,true,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAN4CZFPEYXeYFTxHpoPujfVFb+1Tx1jnXVboDMBg-ZhpgpQ-_g@mail.gmail.com,true,false,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,CAN55FZ0vLWJQNB=HuHXG2wabFjXJd6OWTa3=kRzwObdZD9poHQ@mail.gmail.com,false,false,false,true,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAN55FZ1nB1p_mqnzVY1_CA-OXgQD1yTEJdHXX4E1hDZxVHQRQA@mail.gmail.com,false,false,false,true,false,unspecified,prose,ok,
thread,,pgsql-hackers,CANNMO+K7m=k=T3kVtMQKwr1nC-7QpoEhH3_-DtwnuMqMMHdGVA@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CANeLGgQUc8t0-hSoEh0-OvkmkJ2xjprkSS1aD2qF_WoiZC+w+g@mail.gmail.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,CAOYmi+=KTLd+XsEP=TDiZ48iVf-CEc7JrZd5uhWPYWKEfOgyyQ@mail.gmail.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CAPWzH1cJW69Bcqi8+V8D8SJBbn-ndMszwGE6GH_87=dmp2vCyw@mail.gmail.com,false,false,true,false,false,anthropic,prose,ok,
thread,,pgsql-hackers,CO1PR11MB506011C3052AE779750D9789EDA02@CO1PR11MB5060.namprd11.prod.outlook.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,CO6PR11MB5620E3878444C023A7C8CA9C95222@CO6PR11MB5620.namprd11.prod.outlook.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,DJ3ZPD8STUW0.2IOZ8UCAOGQ8B@gmail.com,false,false,false,true,false,anthropic,prose,ok,
thread,,pgsql-hackers,DKSSP47Y857Z.1FUU91WMDZWPZ@jeltef.nl,false,false,true,false,false,unspecified,prose,wrong roles,"The issue mentions ""converting ~half of the Perl tests using an LLM"" which means an LLM rewrote the tests"
thread,,pgsql-hackers,MRWPR09MB8357932120A9FE5B897AF23CCCA82@MRWPR09MB8357.eurprd09.prod.outlook.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,OSZPR01MB631087C65BA81E1FEE5A60D2FDF59@OSZPR01MB6310.jpnprd01.prod.outlook.com,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,TY4PR01MB177182F547A62FC2666EC04EC94B72@TY4PR01MB17718.jpnprd01.prod.outlook.com,true,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,a40b19da-9a02-47b4-8afd-2bbbde8db1e8@dunslane.net,false,true,false,false,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,b0900d21-594a-57a7-d345-9f8e3987e068@garret.ru,false,false,false,false,false,none,none,ok,
thread,,pgsql-hackers,baf3e5f5-6788-437c-8e79-51ead2af7365@CatProSystems.com,false,false,false,true,false,anthropic,prose,wrong roles,
thread,,pgsql-hackers,c51b6de8-41fe-4751-b94c-605a19e00dc4@app.fastmail.com,false,true,true,false,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,e2b7a0a88aaadded7e2d19f42d5ab03c9e182ad8.camel@j-davis.com,true,false,false,false,false,unspecified,prose,wrong roles,
thread,,pgsql-hackers,e9f24286-068e-40cb-a6a9-25a4f938672a@dunslane.net,false,false,false,true,false,anthropic,prose,ok,
thread,,pgsql-hackers,f071e691-5930-4738-9dbd-43ed2da367fe@gmail.com,false,true,false,false,false,unspecified,prose,ok,
thread,,pgsql-hackers,xzflwwjtwxin3dxziyblrnygy3gfygo5dsuw6ltcoha73ecmnf@nh6nonzta7kw,false,false,false,false,false,none,none,ok,
